AppName,AppVersion
Cato Client,5.11.6.2845
Adobe Acrobat Reader MUI,24.002.21005
Admin By Request Workstation,8.3.1.0
MiCollab Client 7.3,7.3.0.411
Microsoft Edge,127.0.2651.105
Mimecast for Outlook 32-bit,7.10.1.133
Printer Installer Client,25.0.0.693
Snow Inventory Agent,6.7.1
Sophos Endpoint Agent,2024.2.2.1.0
TeamViewer Host,15.55.3.0
